ID	C1	C2	C3	E1	E2	E3	F1	F2	F3
BUB1B	24.186400	23.072300	23.864000	9.226860	9.304710	8.678870	21.774500	22.082300	17.315900
BUB3	74.745100	74.505700	79.439100	57.183400	55.614700	55.902200	72.944600	74.803900	56.941000
BUD13	8.236970	8.781870	9.234700	6.295780	6.710540	7.681940	10.374600	9.943950	9.965180
BUD31	68.858300	64.033500	71.386000	82.469000	84.414900	84.895900	76.525200	75.576100	74.314000
BVES	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
BVES-AS1	0.129680	0.000000	0.000000	0.000000	0.086107	0.105977	0.000000	0.000000	0.000000
BYSL	25.278500	26.365900	24.859200	16.291400	15.534200	17.979900	28.041800	27.196900	33.737100
BZRAP1	0.000000	0.000000	0.000000	0.000000	0.008407	0.000000	0.000000	0.000000	0.008212
BZRAP1-AS1	0.096385	0.000000	0.048188	0.028310	0.113297	0.087523	0.034573	0.015787	0.000000
BZW1	113.772000	109.335000	100.096000	104.800000	108.906000	85.611300	92.204900	89.484900	54.033400
BZW2	124.882000	131.339000	124.794000	56.158500	54.162600	57.422200	119.368000	130.577000	118.277000
C10orf10	0.381917	0.312908	0.109141	0.122904	0.103823	0.000000	0.000000	0.118982	0.237650
C10orf105	0.041194	0.000000	0.000000	0.000000	0.013711	0.011246	0.000000	0.000000	0.000000
C10orf107	0.000000	0.000000	0.067546	0.057094	0.000000	0.000000	0.069226	0.000000	0.252166
C10orf11	5.207270	3.746050	3.196130	3.626730	3.569160	2.288420	3.734130	1.659400	5.538670
C10orf111	0.000000	0.038974	0.090677	0.076601	0.129252	0.141419	0.093225	0.074026	0.211555
C10orf113	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.220141
C10orf12	3.719690	3.419350	3.985410	3.579900	4.962440	3.941880	3.260980	3.159370	2.259370
C10orf120	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C10orf126	0.000000	0.000000	0.000000	0.029254	0.000000	0.000000	0.000000	0.000000	0.000000
C10orf128	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
